Symbol,Date,Open,High,Low,Close,Volume
A,16-Jan-2020,89.12,89.49,88.86,89.46,1595800
AA,16-Jan-2020,19.42,19.61,17.73,17.78,22033200
AAN,16-Jan-2020,60.06,60.6,59.29,60.24,488600
AAP,16-Jan-2020,150.74,152,150.1,151.94,676900
AAT,16-Jan-2020,46.32,46.58,46.29,46.4,190100
AB,16-Jan-2020,32.8,33.07,32.67,33.06,274500
ABB,16-Jan-2020,23.84,23.99,23.72,23.98,1528400
ABBV,16-Jan-2020,89.31,89.795,88.92,89.26,7073300
ABC,16-Jan-2020,91.9,91.9,90.54,91.46,1205000
ABEV,16-Jan-2020,4.5,4.515,4.43,4.44,16671000
ABG,16-Jan-2020,101.73,103.01,101.73,102.5,179700
ABM,16-Jan-2020,39.52,40.5,39.505,40.41,341800
ABR,16-Jan-2020,14.48,14.52,14.45,14.52,1069100
ABR-A,16-Jan-2020,26.34,26.4,26.34,26.4,1500
ABR-B,16-Jan-2020,26.21,26.24,26.21,26.2255,2700
ABR-C,16-Jan-2020,26.6597,26.6597,26.6597,26.6597,100
ABT,16-Jan-2020,87.94,88.31,87.42,88.28,5023200
AC,16-Jan-2020,48.16,52.82,48.135,50.41,10200
ACA,16-Jan-2020,46.97,47.28,46.7,47.07,260100
ACB,16-Jan-2020,2.19,2.32,2.1,2.15,73784300
ACC,16-Jan-2020,46.21,46.46,46.02,46.38,716200
ACCO,16-Jan-2020,9.27,9.33,9.22,9.29,292200
ACE.W,16-Jan-2020,2.87,2.87,2.87,2.87,100
ACEL,16-Jan-2020,11.99,12.22,11.99,12.09,40200
ACH,16-Jan-2020,8.49,8.49,8.41,8.49,35400
ACM,16-Jan-2020,49.87,50.27,49.71,50.27,1957100
ACN,16-Jan-2020,208.14,209.095,207.9,208.98,2691600
ACP,16-Jan-2020,11.71,11.74,11.7,11.73,181900
ACRE,16-Jan-2020,16.35,16.45,16.3398,16.41,171300
ACV,16-Jan-2020,25.13,25.24,25,25.13,74400
ADC,16-Jan-2020,72.8,72.98,72.11,72.38,306900
ADM,16-Jan-2020,44.65,45.46,44.585,45.34,2584900
ADNT,16-Jan-2020,21.44,22.23,21.44,21.93,853300
ADS,16-Jan-2020,114.44,115.62,113.04,114.03,446500
ADSW,16-Jan-2020,32.94,32.95,32.91,32.93,967300
ADT,16-Jan-2020,6.39,6.6,6.385,6.49,2069200
ADX,16-Jan-2020,16.1,16.14,16.07,16.14,166500
AEB,16-Jan-2020,24.7,24.79,24.65,24.77,27000
AEE,16-Jan-2020,78.7,79.3,78.7,79.21,2065900
AEFC,16-Jan-2020,25.72,25.7794,25.61,25.71,137100
AEG,16-Jan-2020,4.37,4.39,4.36,4.39,689000
AEL,16-Jan-2020,28.99,29.39,28.82,28.94,890000
AEL-A,16-Jan-2020,26.41,26.41,26.26,26.4,44300
AEM,16-Jan-2020,60.1,60.46,59.49,60.35,950000
AEO,16-Jan-2020,14.42,14.72,14.4,14.71,3661900
AEP,16-Jan-2020,96.69,97.53,96.64,97.31,2175800
AEP-B,16-Jan-2020,55.1,55.4,55.1,55.14,99400
AER,16-Jan-2020,61.78,62.61,61.78,62.53,426700
AES,16-Jan-2020,20.45,20.58,20.35,20.57,2819600
AFB,16-Jan-2020,14.01,14.02,13.9893,13.99,47700
AFC,16-Jan-2020,27.07,27.08,26.95,26.974,9300
AFG,16-Jan-2020,110.19,111.21,110.19,110.69,273700
AFGB,16-Jan-2020,27.6,27.6,27.4711,27.52,17400
AFGC,16-Jan-2020,26.94,26.94,26.73,26.7663,14100
AFGH,16-Jan-2020,26.4,26.54,26.26,26.27,21300
AFI,16-Jan-2020,4.22,4.39,4.19,4.35,101000
AFL,16-Jan-2020,52.55,52.92,52.47,52.79,3048500
AFT,16-Jan-2020,15.4,15.45,15.39,15.42,66700
AG,16-Jan-2020,11.01,11.1713,10.855,11.05,2876300
AGCO,16-Jan-2020,74.54,74.9,74.04,74.9,377600
AGD,16-Jan-2020,10.65,10.711,10.63,10.67,47600
AGI,16-Jan-2020,5.64,5.64,5.5,5.59,1599700
AGM,16-Jan-2020,82.73,83.73,82.4664,83.55,26200
AGM-A,16-Jan-2020,25.71,25.7447,25.71,25.72,1800
AGM-D,16-Jan-2020,26.75,26.76,26.5,26.6,14900
AGM.A,16-Jan-2020,71.97,71.97,71.97,71.97,100
AGN,16-Jan-2020,193.85,194.43,193.38,193.83,2235000
AGO,16-Jan-2020,48.26,48.98,48.26,48.8,501400
AGO-B,16-Jan-2020,27.1,27.14,27.1,27.13,3700
AGO-E,16-Jan-2020,26.4,26.55,26.31,26.55,11700
AGO-F,16-Jan-2020,26.64,26.64,26.13,26.2,6000
AGR,16-Jan-2020,50.32,51.09,50.25,50.94,524900
AGRO,16-Jan-2020,8.07,8.15,8.01,8.01,161700
AGS,16-Jan-2020,11.3,11.49,11.11,11.12,247200
AGX,16-Jan-2020,42.42,43.31,42.33,43.11,103700
AHC,16-Jan-2020,3.05,3.05,2.95,2.98,37000
AHH,16-Jan-2020,18.51,18.66,18.47,18.64,227600
AHH-A,16-Jan-2020,27.3,27.3,27.3,27.3,100
AHL-C,16-Jan-2020,29.24,29.24,28.7829,29.09,15800
AHL-D,16-Jan-2020,26.75,26.83,26.69,26.72,21600
AHL-E,16-Jan-2020,26.11,26.145,26.01,26.07,38400
AHT,16-Jan-2020,2.71,2.79,2.71,2.75,467400
AHT-D,16-Jan-2020,25.65,25.73,25.6061,25.73,7800
AHT-F,16-Jan-2020,22.45,22.45,22.3947,22.43,19400
AHT-G,16-Jan-2020,21.73,21.89,21.68,21.74,18500
AHT-H,16-Jan-2020,22.41,22.7,22.41,22.7,8100
AHT-I,16-Jan-2020,22.18,22.2,21.95,22.04,32800
AI,16-Jan-2020,5.78,5.8,5.7,5.74,348800
AI-B,16-Jan-2020,21.35,21.3683,21.3,21.3153,700
AI-C,16-Jan-2020,22,22.0499,21.8617,22,15200
AIC,16-Jan-2020,24.35,24.5,24.3429,24.4315,8800
AIF,16-Jan-2020,15.49,15.54,15.4705,15.52,59400
AIG,16-Jan-2020,52.12,52.58,52.12,52.36,3822200
AIG-A,16-Jan-2020,27.45,27.5,27.4,27.5,47100
AIG.W,16-Jan-2020,11.39,11.39,10.95,11.13,140600
AIN,16-Jan-2020,78.94,79.65,78.35,79.27,162600
AIO,16-Jan-2020,20.16,20.369,20.16,20.28,101700
AIR,16-Jan-2020,46.57,46.57,45.885,46,132900
AIT,16-Jan-2020,67.32,68.1,67.32,67.94,157100
AIV,16-Jan-2020,52.24,52.64,51.95,52.63,548600
AIW,16-Jan-2020,24.75,24.89,24.45,24.89,7600
AIZ,16-Jan-2020,131.44,132.29,130.97,131.57,466500
AIZP,16-Jan-2020,129.2965,129.38,129.2563,129.2563,600
AJG,16-Jan-2020,96.19,96.425,95.76,96.05,633300
AJRD,16-Jan-2020,53.57,53.99,53.01,53.4,381700
AJX,16-Jan-2020,15.09,15.14,15.05,15.08,78700
AJXA,16-Jan-2020,27.07,27.07,27.07,27.07,100
AKO.A,16-Jan-2020,13.95,14.98,13.95,14.5,2600
AKO.B,16-Jan-2020,16.87,17.4,16.78,16.78,31200
AKR,16-Jan-2020,25.66,25.74,25.37,25.47,751300
AKS,16-Jan-2020,3.14,3.15,3.09,3.11,7255400
AL,16-Jan-2020,49.27,49.85,49.27,49.63,744800
AL-A,16-Jan-2020,27.98,27.98,27.58,27.64,16600
ALB,16-Jan-2020,80.36,81.5,78.51,80.42,2178700
ALC,16-Jan-2020,61.38,61.38,60.81,61.19,848300
ALE,16-Jan-2020,82.9,83.57,82.9,83.53,165000
ALEX,16-Jan-2020,21.65,22.18,21.65,22.16,242800
ALG,16-Jan-2020,127.13,129.18,127.13,129.04,43700
ALK,16-Jan-2020,67,67.43,65.8459,66.54,966100
ALL,16-Jan-2020,114.54,116.16,114.27,116.15,1902900
ALL-B,16-Jan-2020,27.65,27.77,27.6325,27.65,25700
ALL-G,16-Jan-2020,27.33,27.54,27.17,27.3,62800
ALL-H,16-Jan-2020,26.32,26.44,26.31,26.44,74200
ALL-I,16-Jan-2020,25.8,25.89,25.71,25.83,85300
ALL-Y,16-Jan-2020,26.5,26.5,26.46,26.5,60400
ALLE,16-Jan-2020,126.13,128.57,126.04,128.51,784700
ALLY,16-Jan-2020,30.53,30.77,30.46,30.76,3909800
ALP-Q,16-Jan-2020,28.01,28.04,27.8697,28.04,26900
ALSN,16-Jan-2020,48.95,49.1,48.69,49.02,691700
ALU.U,16-Jan-2020,10.25,10.3,10.23,10.3,27600
ALUS,16-Jan-2020,9.88,9.9,9.87,9.9,108300
ALV,16-Jan-2020,79.6,81.72,79.49,81.69,633700
ALX,16-Jan-2020,351.87,353.48,348.73,353.48,6100
AM,16-Jan-2020,7.61,7.87,7.53,7.57,4637200
AMC,16-Jan-2020,7.19,7.44,7.19,7.33,3350300
AMCR,16-Jan-2020,10.71,10.83,10.67,10.82,3512100
AME,16-Jan-2020,100.16,100.77,99.84,100.19,1642500
AMG,16-Jan-2020,85.37,86.64,85.155,86.38,301500
AMH,16-Jan-2020,26.7,27.07,26.62,27.07,836200
AMH-D,16-Jan-2020,26.95,27.08,26.95,27.03,7500
AMH-E,16-Jan-2020,26.79,26.95,26.75,26.815,5900
AMH-F,16-Jan-2020,26.5,26.5,26.35,26.35,3700
AMH-G,16-Jan-2020,26.13,26.13,26.1,26.13,5800
AMH-H,16-Jan-2020,27.52,27.52,27.18,27.3137,6700
AMK,16-Jan-2020,29.39,30.56,29.115,30.05,161700
AMN,16-Jan-2020,65.17,66.5,65.17,66.35,260200
AMOV,16-Jan-2020,15.86,16.13,15.86,16.1,3200
AMP,16-Jan-2020,169.34,171.95,169.34,171.95,748400
AMPY,16-Jan-2020,7.2,7.5,7.14,7.49,198700
AMRC,16-Jan-2020,19.8,19.925,19.62,19.88,161400
AMRX,16-Jan-2020,5.22,5.68,5.22,5.35,2251700
AMT,16-Jan-2020,235,235.15,231.94,232.24,1782900
