No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3130,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.88B,10566.67,31.7,1.21%,"1,215,073"
3129,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.24B,9225,36.9,-2.54%,"155,036"
3128,VSAT,"Viasat, Inc.",Technology,Communication Equipment,USA,3.64B,8041.43,56.29,3.99%,"909,845"
3127,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,30.62B,4283.2,107.08,1.97%,"13,317,839"
3126,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,21.87B,1955,3.91,-2.74%,"35,773,804"
3125,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,254.51M,1863.33,5.59,-5.09%,"169,528"
3124,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.13B,1636.67,29.46,-2.71%,"775,968"
3123,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.16B,1061.33,15.92,0.00%,"32,529"
3122,MTLS,Materialise NV,Technology,Application Software,Belgium,966.07M,1054.71,17.93,-5.63%,"100,376"
3121,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,216.21M,1046,10.46,-4.30%,"64,947"
3120,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.59B,1028.47,114.16,-3.78%,"961,105"
3119,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,14.81B,975,33.15,-0.45%,"5,368,336"
3118,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,117.28M,819.74,15.57,7.34%,"2,139,395"
3117,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,12.40B,774.53,196.73,-5.10%,"745,519"
3116,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,273.27M,688,6.88,-1.43%,"317,265"
3115,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.02B,650,26,-0.57%,"274,920"
3114,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.32B,589.44,21.22,-5.06%,"2,007,442"
3113,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.60B,558.54,68.7,-7.42%,"890,721"
3112,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,2.03B,537.21,55.87,-0.09%,"147,771"
3111,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,183.78M,528.42,10.04,-3.65%,"123,591"
3110,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,5.69B,514.62,13.38,-0.74%,"42,481"
3109,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.62B,452.17,20.8,-6.01%,"3,438,652"
3108,AYX,"Alteryx, Inc.",Technology,Application Software,USA,9.27B,449.8,132.69,-0.71%,"2,021,204"
3107,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.69B,441.18,30,-2.69%,"823,241"
3106,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.24B,434.64,24.34,-3.30%,"153,758"
3105,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.62B,424.14,12.3,-2.30%,"843,912"
3104,SITC,SITE Centers Corp.,Financial,REIT - Retail,USA,2.40B,418.33,12.55,-3.68%,"1,128,742"
3103,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,3.98B,412.41,35.88,-4.75%,"2,603,357"
3102,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,10.53B,408.24,44.09,-2.93%,"6,828,296"
3101,SPWR,SunPower Corporation,Technology,Semiconductor - Specialized,USA,1.68B,396.25,9.51,-4.33%,"4,613,892"
3100,PEAK,"Healthpeak Properties, Inc.",Financial,REIT - Healthcare Facilities,USA,18.09B,396.22,35.66,-3.88%,"4,295,923"
3099,INOV,"Inovalon Holdings, Inc.",Technology,Healthcare Information Services,USA,3.15B,376.35,19.57,-4.30%,"460,091"
3098,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,268.81M,367.24,10.65,-0.75%,"196,081"
3097,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.69B,363.76,33.83,-1.86%,"656,878"
3096,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.61B,361.02,53.07,0.32%,"444,578"
3095,TRC,Tejon Ranch Co.,Financial,Property Management,USA,417.21M,354,15.93,-1.73%,"121,949"
3094,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,153.01M,345.56,6.22,-0.96%,"21,949"
