No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3142,GOODM,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,764.40M,26370,26.37,0.08%,"4,727"
3141,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.29B,9585,38.34,0.05%,"212,832"
3140,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.95B,4113.75,32.91,2.20%,"608,217"
3139,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,24.75B,3638,90.95,1.21%,"2,288,096"
3138,GOOD,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,760.07M,2412.22,21.71,-0.18%,"126,497"
3137,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,24.25B,2165,4.33,-0.23%,"22,993,918"
3136,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,281.74M,2080,6.24,-0.16%,"122,998"
3135,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.60B,1898.89,34.18,-0.06%,"509,745"
3134,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,4.81B,1401.25,22.42,-0.40%,"2,444,416"
3133,GSX,GSX Techedu Inc.,Services,Education & Training Services,China,7.99B,1232.14,34.5,-6.66%,"2,593,230"
3132,MTLS,Materialise NV,Technology,Application Software,Belgium,1.07B,1148.24,19.52,0.46%,"37,444"
3131,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3.29B,1133.33,108.8,2.08%,80
3130,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.93B,1118.83,124.19,2.31%,"441,667"
3129,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,221.74M,1101,11.01,0.09%,"72,900"
3128,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.20B,1088,16.32,2.00%,"16,566"
3127,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drugs - Generic,USA,2.08B,961.35,49.99,1.90%,"600,443"
3126,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,13.68B,882.06,29.99,3.38%,"2,326,943"
3125,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,13.02B,835.91,212.32,3.36%,"1,002,422"
3124,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.04B,786.57,27.53,-9.14%,"991,793"
3123,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,93.36M,647.37,12.3,-0.65%,"165,082"
3122,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.55B,619.17,22.29,3.96%,"6,155,188"
3121,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.76B,612.44,75.33,0.04%,"126,715"
3120,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,236.86M,603,6.03,1.01%,"165,041"
3119,DRD,DRDGOLD Limited,Basic Materials,Gold,South Africa,551.46M,580.91,6.39,4.75%,"174,869"
3118,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,196.23M,564.21,10.72,0.47%,"24,359"
3117,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,3.53B,545.32,60.53,1.09%,"227,684"
3116,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,1.99B,532.21,55.35,-0.74%,"92,838"
3115,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,6.12B,531.85,14.36,1.34%,"71,991"
3114,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.05B,496.27,25.31,-3.40%,"329,485"
3113,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.38B,492.14,27.56,3.88%,"165,692"
3112,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.55B,465.65,21.42,0.56%,"2,073,226"
3111,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.81B,462.79,31.47,-0.76%,"706,354"
3110,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,338.58M,454.92,29.57,-1.56%,"97,322"
3109,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.67B,437.59,12.69,-0.16%,"316,713"
3108,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,4.43B,421.15,36.64,-1.03%,"679,713"
3107,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,285.64M,389.31,11.29,1.99%,"160,748"
3106,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,2.40B,372.22,16.75,2.38%,"788,512"
3105,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.60B,372.04,54.69,1.86%,"159,140"
3104,TRC,Tejon Ranch Co.,Financial,Property Management,USA,429.55M,364.89,16.42,0.24%,"46,021"
3103,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.75B,362.9,33.75,1.99%,"765,312"
3102,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,162.77M,360.56,6.49,-0.15%,"29,125"
3101,AYX,"Alteryx, Inc.",Technology,Application Software,USA,10.18B,358.28,158,9.49%,"3,959,665"
3100,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,45.75B,352.36,208.95,0.69%,"994,296"
3099,TAL,TAL Education Group,Services,Education & Training Services,China,34.37B,335.91,59.12,0.58%,"2,754,409"
3098,KRUS,"Kura Sushi USA, Inc.",Services,Restaurants,USA,182.93M,335.15,22.12,-2.56%,"128,881"
3097,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.21B,333.75,87.11,-0.72%,"592,086"
3096,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,877.85M,332.55,16.96,0.24%,"205,837"
3095,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,9.51B,316.06,104.3,-2.02%,"449,047"
3094,BYFC,Broadway Financial Corporation,Financial,Savings & Loans,USA,29.65M,310,1.55,0.01%,51
3093,DSX,Diana Shipping Inc.,Services,Shipping,Greece,294.09M,305.56,2.75,-1.08%,"245,852"
3092,CDAY,Ceridian HCM Holding Inc.,Technology,Application Software,USA,10.42B,299.51,73.68,1.81%,"956,684"
3091,LASR,"nLIGHT, Inc.",Technology,Semiconductor - Broad Line,USA,769.66M,295.3,19.49,-5.48%,"251,959"
3090,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,1.89B,290.11,25.24,0.80%,"333,247"
3089,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,538.89M,286.67,16.34,0.43%,"107,335"
3088,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,22.80B,275.87,55.45,0.29%,"172,054"
3087,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.82B,274.68,72.79,-2.79%,"77,662"
3086,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2.07B,270.86,15.71,-0.25%,"734,462"
3085,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,32.88B,263.04,294.61,1.67%,"425,178"
3084,F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,32.88B,261.29,8.1,-1.82%,"46,258,678"
3083,VIRC,Virco Mfg. Corporation,Consumer Goods,Business Equipment,USA,61.87M,259.24,3.89,-2.28%,"2,483"
3082,DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,35.56M,258.38,9.56,-0.42%,"1,220"
3081,TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,288.47M,255.67,7.67,-1.03%,"163,974"
3080,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,4.15B,247.74,85.47,0.05%,"789,222"
3079,SLAB,Silicon Laboratories Inc.,Technology,Semiconductor - Integrated Circuits,USA,4.75B,246.34,104.2,0.16%,"240,280"
3078,FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,39.55B,244.03,158.62,-1.77%,"1,665,118"
3077,NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services,USA,2.19B,229.45,29.37,0.82%,"508,812"
3076,IDT,IDT Corporation,Technology,Diversified Communication Services,USA,205.16M,228.61,8.23,1.23%,"30,143"
3075,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,2.21B,227.86,48.99,1.16%,"303,010"
3074,CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,USA,8.66B,225.19,23.42,-0.26%,"1,967,551"
3073,HSKA,Heska Corporation,Healthcare,Medical Laboratories & Research,USA,820.44M,222.13,103.07,-0.15%,"36,844"
3072,CHCT,Community Healthcare Trust Incorporated,Financial,REIT - Healthcare Facilities,USA,997.09M,220.62,50.08,0.28%,"97,028"
3071,COLD,Americold Realty Trust,Financial,REIT - Industrial,USA,7.32B,217.49,38.06,2.04%,"1,715,905"
3070,RGEN,Repligen Corporation,Healthcare,Biotechnology,USA,5.48B,215.39,105.97,-0.17%,"241,536"
3069,KRNT,Kornit Digital Ltd.,Industrial Goods,Diversified Machinery,Israel,1.84B,214.2,44.34,0.91%,"192,055"
3068,LBRDK,Liberty Broadband Corporation,Services,Broadcasting - TV,USA,20.93B,214.17,137.07,0.19%,"359,068"
3067,IIIN,"Insteel Industries, Inc.",Basic Materials,Steel & Iron,USA,435.76M,213.56,22.21,1.65%,"61,708"
3066,LBRDA,Liberty Broadband Corporation,Services,CATV Systems,USA,24.97B,211.7,135.7,0.19%,"37,159"
3065,AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA,2.43B,210.69,33.5,1.12%,"86,034"
3064,MTRN,Materion Corporation,Basic Materials,Industrial Metals & Minerals,USA,1.11B,210.56,53.06,-3.60%,"136,351"
3063,MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,11.34B,208.57,21.9,1.20%,"3,633,908"
3062,SCKT,"Socket Mobile, Inc.",Technology,Computer Peripherals,USA,9.88M,207.5,1.66,0.00%,"6,605"
3061,ENR,"Energizer Holdings, Inc.",Consumer Goods,Personal Products,USA,3.49B,205.88,51.47,-0.73%,"387,392"
3060,FSP,Franklin Street Properties Corp.,Financial,REIT - Office,USA,874.48M,205.13,8,-0.37%,"284,282"
3059,AUDC,AudioCodes Ltd.,Technology,Communication Equipment,Israel,708.08M,204.66,24.15,-2.27%,"216,902"
3058,ZNGA,Zynga Inc.,Technology,Multimedia & Graphics Software,USA,6.61B,203.82,6.93,0.14%,"17,102,939"
3057,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,4.17B,200.73,82.9,0.45%,"277,498"
3056,WSG,Wanda Sports Group Company Limited,Services,Entertainment - Diversified,China,398.60M,199.33,2.99,-3.55%,"119,787"
3055,SSP,The E.W. Scripps Company,Services,Broadcasting - TV,USA,1.12B,199.1,13.34,0.60%,"197,717"
3054,STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA,1.71B,197.38,36.91,-0.78%,"168,846"
3053,BLKB,"Blackbaud, Inc.",Technology,Business Software & Services,USA,4.01B,196.95,81.34,-0.95%,"354,656"
3052,LGC,Legacy Acquisition Corp.,Conglomerates,Conglomerates,USA,305.36M,196.6,10.42,0.19%,"102,135"
3051,BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,5.37B,193.82,64.93,0.32%,"330,378"
3050,TRI,Thomson Reuters Corporation,Services,Publishing - Periodicals,USA,41.34B,193.76,81.96,0.43%,"283,615"
3049,HTA,"Healthcare Trust of America, Inc.",Financial,REIT - Healthcare Facilities,USA,6.96B,192.59,33.51,2.57%,"1,600,020"
3048,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,64.16B,191.38,55.31,1.43%,"52,115,331"
3047,CRM,"salesforce.com, inc.",Technology,Application Software,USA,169.40B,189.76,189.95,0.69%,"3,585,876"
