No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;Price;Change;Volume
3;SNMP;Sanchez Midstream Partners LP;Basic Materials;Oil & Gas Pipelines;USA;7760000;0.09;0.37;1.07%;43372
4;SBOW;SilverBow Resources, Inc.;Basic Materials;Independent Oil & Gas;USA;38910000;0.22;3.03;1.00%;138203
7;NTZ;Natuzzi S.p.A.;Consumer Goods;Home Furnishings & Fixtures;Italy;17700000;0.48;1.53;0.00%;24364
9;KXIN;Kaixin Auto Holdings;Conglomerates;Conglomerates;China;63780000;0.62;1.05;-1.89%;16514
11;UONEK;Urban One, Inc.;Services;Broadcasting - Radio;USA;79870000;0.67;1.8;-2.70%;449
12;CEPU;Central Puerto S.A.;Utilities;Electric Utilities;Argentina;484660000;0.69;3.22;0.31%;122365
13;CMCT;CIM Commercial Trust Corporation;Financial;REIT - Industrial;USA;220630000;0.7;15.05;4.01%;52468
15;DAC;Danaos Corporation;Services;Shipping;Greece;150270000;0.72;5.9;0.34%;103595
16;LONE;Lonestar Resources US Inc.;Basic Materials;Independent Oil & Gas;USA;27500000;0.74;1.13;-10.32%;41375
18;UONE;Urban One, Inc.;Services;Broadcasting - Radio;USA;3240000;0.76;2.05;1.80%;861
20;EDN;Empresa Distribuidora y Comercializadora Norte Sociedad Anonima;Utilities;Electric Utilities;Argentina;141920000;0.92;4.99;-1.96%;35172
22;ESGRO;Enstar Group Limited;Financial;Insurance Brokers;Bermuda;585240000;0.99;27.27;0.26%;38450
26;ESGRP;Enstar Group Limited;Financial;Insurance Brokers;Bermuda;611200000;1.04;28.48;0.07%;30438
29;SMMT;Summit Therapeutics plc;Healthcare;Biotechnology;United Kingdom;94460000;1.15;1.4;-2.43%;12323
30;SRL;Scully Royalty Ltd.;Financial;Asset Management;Hong Kong;115850000;1.16;8.96;0.11%;1352
34;IPLDP;Interstate Power and Light Company;Utilities;Electric Utilities;USA;342080000;1.22;25.47;0.26%;22299
35;CXDC;China XD Plastics Company Limited;Consumer Goods;Rubber & Plastics;China;84840000;1.23;1.2;-3.23%;102420
38;CTRA;Contura Energy, Inc.;Basic Materials;Industrial Metals & Minerals;USA;108260000;1.44;5.63;-9.19%;193172
40;ARL;American Realty Investors, Inc.;Financial;Property Management;USA;208130000;1.58;13.0;-2.84%;1005
