No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,JASN,"Jason Industries, Inc.",Industrial Goods,Diversified Machinery,USA,3.94M,-,0.12,-9.56%,"57,026"
2,ENSV,Enservco Corporation,Basic Materials,Independent Oil & Gas,USA,7.67M,-,0.14,0.80%,"579,419"
3,HUSA,Houston American Energy Corp.,Basic Materials,Independent Oil & Gas,USA,10.20M,-,0.15,2.09%,"2,174,153"
4,TBLT,"ToughBuilt Industries, Inc.",Industrial Goods,Machine Tools & Accessories,USA,12.69M,-,0.16,-0.13%,"6,754,325"
5,GNMX,"Aevi Genomic Medicine, LLC",Healthcare,Biotechnology,USA,12.89M,-,0.17,0.00%,0
6,ZOM,Zomedica Pharmaceuticals Corp.,Healthcare,Drugs - Generic,USA,23.81M,-,0.19,13.17%,"989,538"
7,RTTR,"Ritter Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.20M,-,0.21,-1.43%,"1,585,445"
8,SCON,Superconductor Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,4.02M,-,0.21,-0.33%,"247,023"
9,GMO,"General Moly, Inc.",Basic Materials,Industrial Metals & Minerals,USA,32.31M,-,0.22,2.59%,"60,080"
10,ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,37.23M,-,0.22,-5.58%,"2,238,954"
11,TTNP,"Titan Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,19.77M,-,0.23,-2.94%,"4,792,389"
12,VISL,"Vislink Technologies, Inc.",Technology,Communication Equipment,USA,4.42M,-,0.24,-9.49%,"7,104,042"
13,SITO,"SITO Mobile, Ltd.",Technology,Wireless Communications,USA,5.97M,-,0.24,1.27%,"34,342"
14,LLEX,"Lilis Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,21.90M,-,0.24,4.26%,"2,110,988"
15,AXAS,Abraxas Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,41.04M,0.69,0.24,9.54%,"1,243,679"
16,HTBX,"Heat Biologics, Inc.",Healthcare,Biotechnology,USA,14.48M,-,0.24,-2.40%,"1,098,300"
17,MCEP,"Mid-Con Energy Partners, LP",Basic Materials,Independent Oil & Gas,USA,7.31M,6.09,0.25,-3.89%,"73,155"
18,DSS,"Document Security Systems, Inc.",Services,Business Services,USA,9.57M,-,0.25,-1.10%,"199,046"
19,ZN,"Zion Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,27.20M,-,0.25,-3.28%,"2,926,983"
20,NVIV,InVivo Therapeutics Holdings Corp.,Healthcare,Biotechnology,USA,3.98M,-,0.26,9.79%,"1,851,307"
21,AUMN,Golden Minerals Company,Basic Materials,Industrial Metals & Minerals,USA,29.76M,-,0.26,-1.63%,"53,527"
22,PLM,PolyMet Mining Corp.,Basic Materials,Industrial Metals & Minerals,Canada,279.40M,-,0.27,-0.48%,"517,213"
23,NTEC,Intec Pharma Ltd.,Healthcare,Biotechnology,Israel,10.10M,-,0.28,8.70%,"3,452,867"
24,XPL,Solitario Zinc Corp.,Basic Materials,Gold,USA,16.63M,-,0.28,-0.22%,"6,693"
25,GHSI,"Guardion Health Sciences, Inc.",Healthcare,Drugs - Generic,USA,22.35M,-,0.28,0.07%,"2,097,277"
26,SUMR,"Summer Infant, Inc.",Consumer Goods,Personal Products,USA,5.48M,-,0.28,0.18%,"6,159"
27,SHIP,Seanergy Maritime Holdings Corp.,Services,Shipping,Greece,8.20M,-,0.30,-13.92%,"472,726"
28,IZEA,"IZEA Worldwide, Inc.",Technology,Internet Service Providers,USA,10.55M,-,0.30,-3.19%,"77,993"
29,GNUS,"Genius Brands International, Inc.",Services,Music & Video Stores,USA,7.77M,-,0.30,-2.37%,"320,647"
30,SQBG,"Sequential Brands Group, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,20.14M,-,0.30,0.03%,"101,766"
31,XELA,"Exela Technologies, Inc.",Technology,Business Software & Services,USA,47.52M,-,0.31,-10.38%,"864,217"
32,INUV,"Inuvo, Inc.",Services,Marketing Services,USA,15.76M,-,0.31,0.08%,"249,931"
33,UNT,Unit Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,17.97M,-,0.31,2.79%,"2,058,508"
34,CORV,Correvio Pharma Corp.,Healthcare,Drug Manufacturers - Other,Canada,16.83M,-,0.33,1.91%,"2,087,293"
35,BIOC,"Biocept, Inc.",Healthcare,Medical Laboratories & Research,USA,14.93M,-,0.33,1.27%,"4,000,934"
36,VLRX,"Valeritas Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,2.71M,-,0.33,-8.63%,"1,732,392"
37,CREG,China Recycling Energy Corporation,Industrial Goods,Waste Management,China,5.98M,-,0.34,0.41%,"99,894"
38,ONVO,"Organovo Holdings, Inc.",Healthcare,Medical Laboratories & Research,USA,45.52M,-,0.35,2.43%,"385,267"
39,IBIO,"iBio, Inc.",Healthcare,Biotechnology,USA,20.06M,-,0.35,-4.16%,"11,760,216"
40,KMPH,"KemPharm, Inc.",Healthcare,Biotechnology,USA,14.08M,-,0.35,-5.11%,"1,339,331"
41,WTRH,Waitr Holdings Inc.,Services,Restaurants,USA,24.97M,-,0.35,5.97%,"507,561"
42,DNN,Denison Mines Corp.,Basic Materials,Industrial Metals & Minerals,Canada,210.98M,-,0.36,2.73%,"511,725"
43,EKSO,"Ekso Bionics Holdings, Inc.",Healthcare,Medical Instruments & Supplies,USA,35.56M,-,0.37,0.07%,"248,104"
44,JOB,"GEE Group, Inc.",Services,Staffing & Outsourcing Services,USA,4.72M,-,0.37,-9.76%,"38,460"
45,TAT,TransAtlantic Petroleum Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,USA,23.46M,-,0.37,-0.72%,"3,286"
46,ROYT,Pacific Coast Oil Trust,Basic Materials,Independent Oil & Gas,USA,14.59M,1.16,0.38,14.68%,"1,091,107"
47,BPMX,BioPharmX Corporation,Healthcare,Biotechnology,USA,5.82M,-,0.38,-0.95%,"1,033,933"
48,RTW,"RTW Retailwinds, Inc.",Services,Apparel Stores,USA,25.15M,-,0.39,-5.05%,"248,842"
49,YAYO,"YayYo, Inc.",Technology,Application Software,USA,11.52M,-,0.39,-63.46%,"7,242,814"
50,WISA,"Summit Wireless Technologies, Inc.",Technology,Semiconductor - Broad Line,USA,9.85M,-,0.40,-1.12%,"123,994"
51,KOPN,Kopin Corporation,Technology,Semiconductor - Broad Line,USA,33.33M,-,0.40,0.00%,"153,068"
52,NXTD,"Nxt-ID, Inc.",Services,Security & Protection Services,USA,12.03M,-,0.40,0.76%,"366,732"
53,HX,Hexindai Inc.,Financial,Credit Services,China,24.59M,-,0.43,-4.23%,"33,452"
54,ENT,Global Eagle Entertainment Inc.,Services,Entertainment - Diversified,USA,42.26M,-,0.43,-2.56%,"58,632"
